ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"27.0.234.206","elite","AS149020","SG","WebHorizon Internet Services","299","WebHorizon IT Broadband Limited","1080","socks5","1","70","742","1054","2024-08-20T14:38:44.196Z","3292"
"114.4.121.90","elite","AS4761","ID","PT. INDOSAT Tbk","180","IOH B2B","4153","socks4","1","100","7746","7777","2024-08-20T14:38:44.204Z","4093"
"162.214.162.156","elite","AS46606","US","Unified Layer","148","Unified Layer","37708","socks4","4","99","555","560","2024-08-20T14:38:44.200Z","753"
"218.1.200.244","elite","AS4812","CN","China Telecom (Group)","203","Chinanet SH","57114","socks5","1","52","3992","7644","2024-08-20T14:38:44.290Z","690"
"83.142.161.30","elite","AS8369","RU","Intersvyaz-2 JSC","83","Intersvyaz-2 JSC","80","socks4","1","100","7784","7788","2024-08-20T14:38:44.292Z","4099"
"103.35.108.198","elite","AS23991","BD","Ranks ITT","213","Ranks ITT Ltd.","4145","socks4","1","99","7703","7799","2024-08-20T14:38:44.199Z","1203"
"49.51.74.195","elite","AS132203","CN","OPHL","175","Tencent cloud computing (Beijing) Co., Ltd.","21127","socks4","1","19","1498","7806","2024-08-20T14:38:44.195Z","5010"
"5.78.84.195","elite","AS212317","US","Hetzner Online GmbH","182","Hetzner Online GmbH","8080","socks4","1","100","1051","1052","2024-08-20T14:38:44.197Z","4191"
"43.155.81.198","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","256","Tencent Cloud Computing","1081","socks4","1","34","2600","7760","2024-08-20T14:38:44.203Z","4896"
"190.63.152.118","elite","AS23487","EC","CONECEL","175","CONECEL","5678","socks4","1","96","7307","7589","2024-08-20T14:38:44.295Z","4287"
"114.254.92.176","elite","AS4808","CN","China Unicom Beijing Province Network","202","N/A","1080","socks5","1","37","2885","7705","2024-08-20T14:38:43.699Z","4402"
"41.223.232.34","elite","AS37008","BF","Alink Telecom Faso v","181","N/A","4145","socks4","2","99","7571","7679","2024-08-20T14:38:43.703Z","708"
"103.234.26.74","elite","AS38200","BD","BTS Communications (BD) Ltd","197","Btscombd","1080","socks4","1","91","866","953","2024-08-20T14:38:43.889Z","4387"
"182.253.141.167","elite","AS17451","ID","Biznet Networks","197","MetroNET","4153","socks4","1","33","2500","7631","2024-08-20T14:38:43.607Z","358"
"134.255.228.209","elite","AS197071","DE","StorageBase-FFM","11","N/A","24317","socks4","1","100","7654","7661","2024-08-20T14:38:43.891Z","1395"
"85.209.153.174","elite","AS44477","US","Stark Industries Solutions LTD","86","Stark Industries Solutions LTD","3128","http","17014","46","27","59","2024-08-20T14:38:43.707Z","689"
"185.171.55.218","elite","AS44285","IR","Shahrad Network","91","N/A","4153","socks4","1","97","7569","7831","2024-08-20T14:38:43.807Z","3605"
"190.109.72.10","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","226","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","33633","socks4","1","99","7737","7806","2024-08-20T14:38:43.801Z","72"
"178.79.144.186","elite","AS63949","GB","Linode","9","Linode, LLC","8080","socks5","1","100","7726","7728","2024-08-20T14:38:43.598Z","5105"
"5.10.250.179","elite","AS211059","AX","Tribeka Web Advisors S.A.","83","Tribeka Web Advisors S.A","11412","socks4","2","100","536","536","2024-08-20T14:38:25.690Z","803"
"186.248.87.172","elite","AS23106","BR","AMERICAN TOWER DO BRASIL-COMUNICAÇÂO MULTIMÍDIA LT","213","AMERICAN TOWER DO BRASIL-COMUNICAÇÂO MULTIMÍDIA LT","5678","socks4","1","99","7679","7781","2024-08-20T14:38:25.291Z","668"
"85.240.180.190","elite","AS3243","PT","PT Comunicacoes S.A.","34","PT Comunicacoes S.A.","5678","socks4","1","90","7023","7772","2024-08-20T14:38:25.207Z","1897"
"95.140.126.82","elite","AS9125","RS","Drustvo za telekomunikacije Orion telekom doo Beograd-Zemun","34","Milsped","1080","socks4","4","100","7810","7842","2024-08-20T14:38:25.606Z","2301"
"177.101.135.89","elite","AS28158","BR","Ampernet Telecomunicações Ltda","219","Ampernet Telecomunicações Ltda","5678","socks4","1","100","1043","1045","2024-08-20T14:38:25.293Z","5118"
"192.154.244.92","elite","AS64200","US","Vivid-hosting LLC","195","Vivid-hosting LLC","9000","socks4","1","100","7749","7766","2024-08-20T14:38:25.289Z","5097"
"171.254.1.190","elite","N/A","VN","Viettel Corporation","280","N/A","1080","socks4","1","92","315","344","2024-08-20T14:38:25.091Z","410"
"38.127.179.87","elite","AS174","US","Cogent Communications","83","Torlandia Trading SRL","11537","socks5","3","100","7725","7738","2024-08-20T14:38:25.604Z","1890"
"217.198.181.50","elite","AS48031","UA","Ivanov Vitaliy Sergeevich","49","IT Hostline Ltd","49582","socks4","1","100","7700","7713","2024-08-20T14:38:25.692Z","2699"
"193.93.19.161","elite","AS39431","UA","ArgoCom Ltd.","48","ArgoCom Ltd","5678","socks4","2","94","7231","7723","2024-08-20T14:38:25.602Z","2208"
"193.34.45.179","elite","AS199201","PL","SPI-NET Norbert Nowicki","90","SPI","5678","socks5","2","100","7702","7712","2024-08-20T14:38:25.195Z","3609"
"103.30.0.249","elite","AS131778","ID","PT. Dian Nuswantoro Teknologi","196","N/A","4145","socks4","87","99","1033","1047","2024-08-20T14:38:24.807Z","2905"
"202.137.17.151","elite","AS9905","ID","LINKNET","171","N/A","5678","socks4","1","98","7554","7745","2024-08-20T14:38:24.995Z","71"
"199.102.106.94","elite","AS46562","US","Performive LLC","157","ZeroLag Communications","4145","socks4","2","96","580","604","2024-08-20T14:38:24.902Z","753"
"103.105.40.65","elite","AS137143","IN","Minnal Digital Network Private Limited","150","Minnal Digital Network Private Limited","4145","socks4","2","100","7762","7800","2024-08-20T14:38:24.891Z","1591"
